BE,BD,BDE,DE,ABDE,BCDE,ACDE,ABCE,,,,,,,
BE,ABCDE,ABE,ABD,,,,,,,,,,,
BE,E,B,BCE,ABE,BDE,ABCDE,ACD,,,,,,,
BE,ABC,ABCE,ACE,ABCE,ACD,ABCDE,ACDE,ABCD,ABCDE,,,,,
B,E,BE,AB,AC,AD,AE,CE,DE,ABCDE,BC,BD,,,
B,E,BE,ACD,ABCDE,,,,,,,,,,
ABCDE,ABCD,BE,B,,,,,,,,,,,
B,E,BE,ABCD,,,,,,,,,,,
BE,B,E,ABCDE,ACD,,,,,,,,,,
BE,ABE,ABCE,ABCDE,ABCD,ABC,AB,B,E,CD,ACD,AC,A,D,C
BE,ABCDE,ACDE,ABCD,ACD,,,,,,,,,,
BE,ABC,CDE,ABCDE,,,,,,,,,,,
BE,ACD,ABCDE,BDE,BCE,ABE,,,,,,,,,
ACD,BE,ABCD,ACDE,DE,BD,B,E,,,,,,,
BE,ABCDE,ABCDE,ACDE,ACD,,,,,,,,,,
A,AB,B,BC,C,CD,D,DE,E,BE,BD,CE,AE,,
BE,AB,ABCE,ABCDE,ACD,,,,,,,,,,
BE,ABCDE,DE,BD,,,,,,,,,,,
BE,ABCDE,BDE,D,,,,,,,,,,,
BE,ABCE,BC,BCD,BDE,ABCDE,ADE,ACDE,CE,BCE,,,,,
B,BE,E,AE,ABE,ABCDE,ACD,ABCD,CD,,,,,,
BE,CDE,BCD,,,,,,,,,,,,
B,E,BE,BCE,ABE,BDE,ABDE,ABCE,ABCDE,,,,,,
