Teacher #,Hypothesis Space,Type,Trial,Posterior
1,simple_d2,Recursive + Dependent,4,0.33333333333327897
1,simple_d2,Recursive + Independent,4,0.3333282177793638
1,simple_d2,Non-Recursive + Dependent,4,0.3166596200499928
1,simple_d2,Non-Recursive + Independent,4,0.2991799703393529
2,simple_d2,Recursive + Dependent,5,1.0
2,simple_d2,Recursive + Independent,5,0.999993538262459
2,simple_d2,Non-Recursive + Dependent,5,0.782989381977893
2,simple_d2,Non-Recursive + Independent,5,0.5324483775811208
3,simple_d2,Recursive + Dependent,6,1.0
3,simple_d2,Recursive + Independent,6,0.9999997874415846
3,simple_d2,Non-Recursive + Dependent,6,0.9999531104935883
3,simple_d2,Non-Recursive + Independent,6,0.6521593354351196
4,simple_d2,Recursive + Dependent,5,1.0
4,simple_d2,Recursive + Independent,5,0.9999979806949584
4,simple_d2,Non-Recursive + Dependent,5,0.9995413549112606
4,simple_d2,Non-Recursive + Independent,5,0.7535706438145456
5,simple_d2,Recursive + Dependent,3,0.9999999149766212
5,simple_d2,Recursive + Independent,3,0.997527399681772
5,simple_d2,Non-Recursive + Dependent,3,0.8174018280477297
5,simple_d2,Non-Recursive + Independent,3,0.5193851279721339
6,simple_d2,Recursive + Dependent,5,0.19999999999999998
6,simple_d2,Recursive + Independent,5,0.19999988691892423
6,simple_d2,Non-Recursive + Dependent,5,0.19999785125814823
6,simple_d2,Non-Recursive + Independent,5,0.1856630793734917
7,simple_d2,Recursive + Dependent,5,0.16666666666666669
7,simple_d2,Recursive + Independent,5,0.16666659935651487
7,simple_d2,Non-Recursive + Dependent,5,0.16666659929091535
7,simple_d2,Non-Recursive + Independent,5,0.15829926135505648
8,simple_d2,Recursive + Dependent,12,1.0
8,simple_d2,Recursive + Independent,12,1.0
8,simple_d2,Non-Recursive + Dependent,12,1.0
8,simple_d2,Non-Recursive + Independent,12,0.9993295090816956
9,simple_d2,Recursive + Dependent,20,1.0
9,simple_d2,Recursive + Independent,20,1.0
9,simple_d2,Non-Recursive + Dependent,20,1.0
9,simple_d2,Non-Recursive + Independent,20,0.9999595917686541
10,simple_d2,Recursive + Dependent,5,1.0
10,simple_d2,Recursive + Independent,5,0.9999975768369843
10,simple_d2,Non-Recursive + Dependent,5,0.9996680453400766
10,simple_d2,Non-Recursive + Independent,5,0.7361021678471772
11,simple_d2,Recursive + Dependent,7,1.0
11,simple_d2,Recursive + Independent,7,0.9999999910501703
11,simple_d2,Non-Recursive + Dependent,7,0.9999982995351875
11,simple_d2,Non-Recursive + Independent,7,0.6990044947918345
12,simple_d2,Recursive + Dependent,5,1.0
12,simple_d2,Recursive + Independent,5,0.9999959614024778
12,simple_d2,Non-Recursive + Dependent,5,0.9996662659800656
12,simple_d2,Non-Recursive + Independent,5,0.633333333333333
13,simple_d2,Recursive + Dependent,8,1.0
13,simple_d2,Recursive + Independent,8,1.0
13,simple_d2,Non-Recursive + Dependent,8,0.9999999149764512
13,simple_d2,Non-Recursive + Independent,8,0.9886792470151569
14,simple_d2,Recursive + Dependent,11,1.0
14,simple_d2,Recursive + Independent,11,1.0
14,simple_d2,Non-Recursive + Dependent,11,0.9999999999999992
14,simple_d2,Non-Recursive + Independent,11,0.9985231812011094
15,simple_d2,Recursive + Dependent,7,0.08333333333333334
15,simple_d2,Recursive + Independent,7,0.08333333333333333
15,simple_d2,Non-Recursive + Dependent,7,0.08333333333333329
15,simple_d2,Non-Recursive + Independent,7,0.08327502420718642
16,simple_d2,Recursive + Dependent,8,1.0
16,simple_d2,Recursive + Independent,8,1.0
16,simple_d2,Non-Recursive + Dependent,8,0.9999999977560012
16,simple_d2,Non-Recursive + Independent,8,0.9878242158099224
17,simple_d2,Recursive + Dependent,10,1.0
17,simple_d2,Recursive + Independent,10,1.0
17,simple_d2,Non-Recursive + Dependent,10,0.9999999999937925
17,simple_d2,Non-Recursive + Independent,10,0.998944508392399
18,simple_d2,Recursive + Dependent,16,1.0
18,simple_d2,Recursive + Independent,16,1.0
18,simple_d2,Non-Recursive + Dependent,16,1.0
18,simple_d2,Non-Recursive + Independent,16,0.9888513959550856
19,simple_d2,Recursive + Dependent,3,0.16666666312402573
19,simple_d2,Recursive + Independent,3,0.16661807580278173
19,simple_d2,Non-Recursive + Dependent,3,0.1583090988160922
19,simple_d2,Non-Recursive + Independent,3,0.15004156275976727
20,simple_d2,Recursive + Dependent,5,1.0
20,simple_d2,Recursive + Independent,5,0.9999963652609418
20,simple_d2,Non-Recursive + Dependent,5,0.9999654760454042
20,simple_d2,Non-Recursive + Independent,5,0.6585660430753058
1,simple_d3,Recursive + Dependent,4,0.333333333333279
1,simple_d3,Recursive + Independent,4,0.33332310236278
1,simple_d3,Non-Recursive + Dependent,4,0.31664795747901064
1,simple_d3,Non-Recursive + Independent,4,0.27087117921175263
2,simple_d3,Recursive + Dependent,5,1.0
2,simple_d3,Recursive + Independent,5,0.9999903074241052
2,simple_d3,Non-Recursive + Dependent,5,0.6926168485146923
2,simple_d3,Non-Recursive + Independent,5,0.4287410926365794
3,simple_d3,Recursive + Dependent,6,1.0
3,simple_d3,Recursive + Independent,6,0.999999596139088
3,simple_d3,Non-Recursive + Dependent,6,0.9998840603759434
3,simple_d3,Non-Recursive + Independent,6,0.4975393283487616
4,simple_d3,Recursive + Dependent,5,1.0
4,simple_d3,Recursive + Independent,5,0.999995557542384
4,simple_d3,Non-Recursive + Dependent,5,0.998666076673436
4,simple_d3,Non-Recursive + Independent,5,0.5974738675958184
5,simple_d3,Recursive + Dependent,3,0.9999998937207797
5,simple_d3,Recursive + Independent,3,0.995789399930059
5,simple_d3,Non-Recursive + Dependent,3,0.7804764239483805
5,simple_d3,Non-Recursive + Independent,3,0.38812811226799454
6,simple_d3,Recursive + Dependent,5,0.16666666666666666
6,simple_d3,Recursive + Independent,5,0.16666649839135309
6,simple_d3,Non-Recursive + Dependent,5,0.1666634693076717
6,simple_d3,Non-Recursive + Independent,5,0.14677143610108143
7,simple_d3,Recursive + Dependent,5,0.16666666666666666
7,simple_d3,Recursive + Independent,5,0.16666649839138487
7,simple_d3,Non-Recursive + Dependent,5,0.16666649829287916
7,simple_d3,Non-Recursive + Independent,5,0.14718681135257133
8,simple_d3,Recursive + Dependent,12,1.0
