Teacher #,Hypothesis Space,Type,Count to Threshold
1,simple_d2,Recursive + Dependent,0
1,simple_d2,Non-Recursive + Dependent,0
2,simple_d2,Recursive + Dependent,5
2,simple_d2,Non-Recursive + Dependent,0
3,simple_d2,Recursive + Dependent,3
3,simple_d2,Non-Recursive + Dependent,4
4,simple_d2,Recursive + Dependent,3
4,simple_d2,Non-Recursive + Dependent,4
5,simple_d2,Recursive + Dependent,3
5,simple_d2,Non-Recursive + Dependent,0
6,simple_d2,Recursive + Dependent,0
6,simple_d2,Non-Recursive + Dependent,0
7,simple_d2,Recursive + Dependent,0
7,simple_d2,Non-Recursive + Dependent,0
8,simple_d2,Recursive + Dependent,3
8,simple_d2,Non-Recursive + Dependent,4
9,simple_d2,Recursive + Dependent,3
9,simple_d2,Non-Recursive + Dependent,4
10,simple_d2,Recursive + Dependent,3
10,simple_d2,Non-Recursive + Dependent,4
11,simple_d2,Recursive + Dependent,3
11,simple_d2,Non-Recursive + Dependent,4
12,simple_d2,Recursive + Dependent,3
12,simple_d2,Non-Recursive + Dependent,4
13,simple_d2,Recursive + Dependent,5
13,simple_d2,Non-Recursive + Dependent,6
14,simple_d2,Recursive + Dependent,3
14,simple_d2,Non-Recursive + Dependent,4
15,simple_d2,Recursive + Dependent,0
15,simple_d2,Non-Recursive + Dependent,0
16,simple_d2,Recursive + Dependent,4
16,simple_d2,Non-Recursive + Dependent,5
17,simple_d2,Recursive + Dependent,6
17,simple_d2,Non-Recursive + Dependent,7
18,simple_d2,Recursive + Dependent,6
18,simple_d2,Non-Recursive + Dependent,7
19,simple_d2,Recursive + Dependent,0
19,simple_d2,Non-Recursive + Dependent,0
20,simple_d2,Recursive + Dependent,3
20,simple_d2,Non-Recursive + Dependent,4
