Teacher #,Hypothesis Space,Type,Trial,Posterior
1,simple_d2,Recursive + Dependent,4,0.33333333333327897
1,simple_d2,Non-Recursive + Dependent,4,0.3166596200499928
2,simple_d2,Recursive + Dependent,5,1.0
2,simple_d2,Non-Recursive + Dependent,5,0.782989381977893
3,simple_d2,Recursive + Dependent,6,1.0
3,simple_d2,Non-Recursive + Dependent,6,0.9999531104935883
4,simple_d2,Recursive + Dependent,5,1.0
4,simple_d2,Non-Recursive + Dependent,5,0.9995413549112606
5,simple_d2,Recursive + Dependent,3,0.9999999149766212
5,simple_d2,Non-Recursive + Dependent,3,0.8174018280477297
6,simple_d2,Recursive + Dependent,5,0.19999999999999998
6,simple_d2,Non-Recursive + Dependent,5,0.19999785125814823
7,simple_d2,Recursive + Dependent,5,0.16666666666666669
7,simple_d2,Non-Recursive + Dependent,5,0.16666659929091535
8,simple_d2,Recursive + Dependent,12,1.0
8,simple_d2,Non-Recursive + Dependent,12,1.0
9,simple_d2,Recursive + Dependent,20,1.0
9,simple_d2,Non-Recursive + Dependent,20,1.0
10,simple_d2,Recursive + Dependent,5,1.0
10,simple_d2,Non-Recursive + Dependent,5,0.9996680453400766
11,simple_d2,Recursive + Dependent,7,1.0
11,simple_d2,Non-Recursive + Dependent,7,0.9999982995351875
12,simple_d2,Recursive + Dependent,5,1.0
12,simple_d2,Non-Recursive + Dependent,5,0.9996662659800656
13,simple_d2,Recursive + Dependent,8,1.0
13,simple_d2,Non-Recursive + Dependent,8,0.9999999149764512
14,simple_d2,Recursive + Dependent,11,1.0
14,simple_d2,Non-Recursive + Dependent,11,0.9999999999999992
15,simple_d2,Recursive + Dependent,7,0.08333333333333334
15,simple_d2,Non-Recursive + Dependent,7,0.08333333333333329
16,simple_d2,Recursive + Dependent,8,1.0
16,simple_d2,Non-Recursive + Dependent,8,0.9999999977560012
17,simple_d2,Recursive + Dependent,10,1.0
17,simple_d2,Non-Recursive + Dependent,10,0.9999999999937925
18,simple_d2,Recursive + Dependent,16,1.0
18,simple_d2,Non-Recursive + Dependent,16,1.0
19,simple_d2,Recursive + Dependent,3,0.16666666312402573
19,simple_d2,Non-Recursive + Dependent,3,0.1583090988160922
20,simple_d2,Recursive + Dependent,5,1.0
20,simple_d2,Non-Recursive + Dependent,5,0.9999654760454042
1,simple_d3,Recursive + Dependent,4,0.333333333333279
1,simple_d3,Non-Recursive + Dependent,4,0.31664795747901064
2,simple_d3,Recursive + Dependent,5,1.0
2,simple_d3,Non-Recursive + Dependent,5,0.6926168485146923
3,simple_d3,Recursive + Dependent,6,1.0
3,simple_d3,Non-Recursive + Dependent,6,0.9998840603759434
4,simple_d3,Recursive + Dependent,5,1.0
4,simple_d3,Non-Recursive + Dependent,5,0.998666076673436
5,simple_d3,Recursive + Dependent,3,0.9999998937207797
5,simple_d3,Non-Recursive + Dependent,3,0.7804764239483805
6,simple_d3,Recursive + Dependent,5,0.16666666666666666
6,simple_d3,Non-Recursive + Dependent,5,0.1666634693076717
7,simple_d3,Recursive + Dependent,5,0.16666666666666666
7,simple_d3,Non-Recursive + Dependent,5,0.16666649829287916
8,simple_d3,Recursive + Dependent,12,1.0
8,simple_d3,Non-Recursive + Dependent,12,1.0
9,simple_d3,Recursive + Dependent,20,1.0
9,simple_d3,Non-Recursive + Dependent,20,1.0
10,simple_d3,Recursive + Dependent,5,1.0
10,simple_d3,Non-Recursive + Dependent,5,0.9996433963544382
11,simple_d3,Recursive + Dependent,7,1.0
11,simple_d3,Non-Recursive + Dependent,7,0.9999978744198348
12,simple_d3,Recursive + Dependent,5,1.0
12,simple_d3,Non-Recursive + Dependent,5,0.9996383762811101
13,simple_d3,Recursive + Dependent,8,1.0
13,simple_d3,Non-Recursive + Dependent,8,0.9999999149764514
14,simple_d3,Recursive + Dependent,11,1.0
14,simple_d3,Non-Recursive + Dependent,11,0.999999999999999
15,simple_d3,Recursive + Dependent,7,0.04761904761904761
15,simple_d3,Non-Recursive + Dependent,7,0.0476190476165108
16,simple_d3,Recursive + Dependent,8,1.0
16,simple_d3,Non-Recursive + Dependent,8,0.9999999977527306
17,simple_d3,Recursive + Dependent,10,1.0
17,simple_d3,Non-Recursive + Dependent,10,0.9999999999936295
18,simple_d3,Recursive + Dependent,16,1.0
18,simple_d3,Non-Recursive + Dependent,16,1.0
19,simple_d3,Recursive + Dependent,3,0.1666666578100648
19,simple_d3,Non-Recursive + Dependent,3,0.1472370665792954
20,simple_d3,Recursive + Dependent,5,1.0
20,simple_d3,Non-Recursive + Dependent,5,0.999953698961852
1,simple_d4,Recursive + Dependent,4,0.33333333333327897
1,simple_d4,Non-Recursive + Dependent,4,0.31664099274922397
2,simple_d4,Recursive + Dependent,5,1.0
2,simple_d4,Non-Recursive + Dependent,5,0.6668272625214873
3,simple_d4,Recursive + Dependent,6,1.0
3,simple_d4,Non-Recursive + Dependent,6,0.9998457039413525
4,simple_d4,Recursive + Dependent,5,1.0
4,simple_d4,Non-Recursive + Dependent,5,0.9980843700010875
5,simple_d4,Recursive + Dependent,3,0.9999998937207789
5,simple_d4,Non-Recursive + Dependent,3,0.7795893396795651
6,simple_d4,Recursive + Dependent,5,0.16666666666666669
6,simple_d4,Non-Recursive + Dependent,5,0.1666624036108717
7,simple_d4,Recursive + Dependent,5,0.16666666666666666
7,simple_d4,Non-Recursive + Dependent,5,0.1666664422011731
8,simple_d4,Recursive + Dependent,12,1.0
8,simple_d4,Non-Recursive + Dependent,12,1.0
9,simple_d4,Recursive + Dependent,20,1.0
9,simple_d4,Non-Recursive + Dependent,20,1.0
10,simple_d4,Recursive + Dependent,5,1.0
10,simple_d4,Non-Recursive + Dependent,5,0.9996353191917691
11,simple_d4,Recursive + Dependent,7,1.0
11,simple_d4,Non-Recursive + Dependent,7,0.9999978744197916
12,simple_d4,Recursive + Dependent,5,1.0
12,simple_d4,Non-Recursive + Dependent,5,0.9996282869805597
13,simple_d4,Recursive + Dependent,8,1.0
13,simple_d4,Non-Recursive + Dependent,8,0.9999999149764512
14,simple_d4,Recursive + Dependent,11,1.0
