Teacher #,Hypothesis Space,Type,Trial,Posterior
1,simple_d2,Recursive + Dependent,4,0.333333333
1,simple_d2,Non-Recursive + Dependent,4,0.31665962
2,simple_d2,Recursive + Dependent,5,1
2,simple_d2,Non-Recursive + Dependent,5,0.782989382
3,simple_d2,Recursive + Dependent,6,1
3,simple_d2,Non-Recursive + Dependent,6,0.99995311
4,simple_d2,Recursive + Dependent,5,1
4,simple_d2,Non-Recursive + Dependent,5,0.999541355
5,simple_d2,Recursive + Dependent,3,0.999999915
5,simple_d2,Non-Recursive + Dependent,3,0.817401828
6,simple_d2,Recursive + Dependent,5,0.2
6,simple_d2,Non-Recursive + Dependent,5,0.199997851
7,simple_d2,Recursive + Dependent,5,0.166666667
7,simple_d2,Non-Recursive + Dependent,5,0.166666599
8,simple_d2,Recursive + Dependent,12,1
8,simple_d2,Non-Recursive + Dependent,12,1
9,simple_d2,Recursive + Dependent,20,1
9,simple_d2,Non-Recursive + Dependent,20,1
10,simple_d2,Recursive + Dependent,5,1
10,simple_d2,Non-Recursive + Dependent,5,0.999668045
11,simple_d2,Recursive + Dependent,7,1
11,simple_d2,Non-Recursive + Dependent,7,0.9999983
12,simple_d2,Recursive + Dependent,5,1
12,simple_d2,Non-Recursive + Dependent,5,0.999666266
13,simple_d2,Recursive + Dependent,8,1
13,simple_d2,Non-Recursive + Dependent,8,0.999999915
14,simple_d2,Recursive + Dependent,11,1
14,simple_d2,Non-Recursive + Dependent,11,1
15,simple_d2,Recursive + Dependent,7,0.083333333
15,simple_d2,Non-Recursive + Dependent,7,0.083333333
16,simple_d2,Recursive + Dependent,8,1
16,simple_d2,Non-Recursive + Dependent,8,0.999999998
17,simple_d2,Recursive + Dependent,10,1
17,simple_d2,Non-Recursive + Dependent,10,1
18,simple_d2,Recursive + Dependent,16,1
18,simple_d2,Non-Recursive + Dependent,16,1
19,simple_d2,Recursive + Dependent,3,0.166666663
19,simple_d2,Non-Recursive + Dependent,3,0.158309099
20,simple_d2,Recursive + Dependent,5,1
20,simple_d2,Non-Recursive + Dependent,5,0.999965476
