H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('AB', 0.2918350848827804), ('DE', 0.42025611175785754), ('ABE', 0.7829014952630978), ('ABCDE', 0.7829014952630978), ('AC', 0.7877569771448262)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('AB', 0.13355530891601927), ('DE', 0.3642398173225002), ('ABE', 0.609526348529282), ('ABCDE', 0.6095263485292812), ('AC', 0.7427856528107883)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('AB', 0.05290927744393995), ('DE', 0.056012412723041145), ('ABE', 0.47807904091448405), ('ABCDE', 0.7574820541137578), ('AC', 0.7620264415065122)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('AB', 0.04355169501749339), ('DE', 0.0548873684631695), ('ABE', 0.40732822614168834), ('ABCDE', 0.5940071014116196), ('AC', 0.7198663241914436)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('AB', 0.47060034305317344), ('DE', 0.9473404938140101), ('ABE', 0.9972299379095464), ('ABCDE', 0.9999923266396058), ('AC', 0.9999999999411195)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('AB', 0.16318130992315558), ('DE', 0.8169101792605354), ('ABE', 0.9890107395651492), ('ABCDE', 0.999969307264965), ('AC', 0.9999999998760412)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('AB', 0.3402112990427029), ('DE', 0.9453201840676367), ('ABE', 0.9972299370034979), ('ABCDE', 0.9999923266396058), ('AC', 0.9999999999411195)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('AB', 0.14403914403914525), ('DE', 0.8154074459711833), ('ABE', 0.9890107386739616), ('ABCDE', 0.9999693072649649), ('AC', 0.9999999998760412)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('ABE', 0.3051563820794588), ('A', 0.3098712446351931), ('ABDE', 0.31395614958575524)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('ABE', 0.039311771752150705), ('A', 0.07209906131416018), ('ABDE', 0.07231799251410201)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('ABE', 0.24441435341909368), ('A', 0.24742974640164883), ('ABDE', 0.30978727248091753)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('ABE', 0.03809222327740834), ('A', 0.06810035842293889), ('ABDE', 0.07209451434217334)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('ABE', 0.3317212361561151), ('A', 0.33333067401204286), ('ABDE', 0.3333333333136879)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('ABE', 0.039963177244469274), ('A', 0.07335893792218458), ('ABDE', 0.07672688629013588)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('ABE', 0.32707071670402194), ('A', 0.33332997966694017), ('ABDE', 0.333333333313688)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('ABE', 0.03989483908868298), ('A', 0.0733589042918181), ('ABDE', 0.07672688629013583)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('ACD', 0.242444593687038), ('ABCDE', 0.24244459368703805)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('ACD', 0.1602308033732799), ('ABCDE', 0.16023080337328)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('ACD', 0.05102473498233251), ('ABCDE', 0.20246775098149086)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('ACD', 0.046051792320449446), ('ABCDE', 0.14173537495092411)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('ACD', 0.32688366773102046), ('ABCDE', 0.33331541325686054)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('ACD', 0.19360939396505472), ('ABCDE', 0.24640658382291505)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('ACD', 0.25815800368850517), ('ABCDE', 0.3333022224022967)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('ACD', 0.16723965571891813), ('ABCDE', 0.24639937488583302)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('AB', 0.2918350848827804), ('DE', 0.42025611175785754), ('ACDE', 0.5639233741675573), ('BE', 0.9147580107394802), ('ABCDE', 0.9147580107394796), ('ABCD', 0.973961342832879), ('BE', 0.9933883320981225)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('AB', 0.13355530891601927), ('DE', 0.3642398173225002), ('ACDE', 0.5578642763273364), ('BE', 0.8991555320728951), ('ABCDE', 0.8991555320728956), ('ABCD', 0.9730151921755364), ('BE', 0.9924048728400013)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('AB', 0.05290927744393995), ('DE', 0.056012412723041145), ('ACDE', 0.05798118295476648), ('BE', 0.5242217386232519), ('ABCDE', 0.8802439699833065), ('ABCD', 0.9349305305669636), ('BE', 0.9911670748996264)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('AB', 0.04355169501749339), ('DE', 0.0548873684631695), ('ACDE', 0.05791650612202771), ('BE', 0.5190601278606084), ('ABCDE', 0.8657873472126558), ('ABCD', 0.9340586591354176), ('BE', 0.9901880066677367)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('AB', 0.47060034305317344), ('DE', 0.9473404938140101), ('ACDE', 0.9998465555413687), ('BE', 0.999999978685274), ('ABCDE', 0.9999999999999996), ('ABCD', 1.0), ('BE', 1.0)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('AB', 0.16318130992315558), ('DE', 0.8169101792605354), ('ACDE', 0.9994082713173129), ('BE', 0.9999999149172535), ('ABCDE', 0.9999999999999982), ('ABCD', 1.0), ('BE', 1.0)]"
H.orderedAnd() recursive "[('BE', 0.050131926121372156), ('AB', 0.3402112990427029), ('DE', 0.9453201840676367), ('ACDE', 0.999846538235822), ('BE', 0.999999978685274), ('ABCDE', 0.9999999999999996), ('ABCD', 1.0), ('BE', 1.0)]"
H.orderedAndOr() recursive "[('BE', 0.023720349563046143), ('AB', 0.14403914403914525), ('DE', 0.8154074459711833), ('ACDE', 0.9994082540269297), ('BE', 0.9999999149172537), ('ABCDE', 0.9999999999999982), ('ABCD', 1.0), ('BE', 1.0)]"
H.unorderedAnd() non-recursive "[('BE', 0.2235294117647057), ('BCDE', 0.27204220045214744), ('AB', 0.367203811767225), ('AE', 0.5639673012259873), ('BE', 0.8768735960756155), ('BE', 0.9032499474562012), ('BE', 0.9046822018793873)]"
H.unorderedAndOr() non-recursive "[('BE', 0.03747534516765286), ('BCDE', 0.0386302835741038), ('AB', 0.14740076934648524), ('AE', 0.45738703167500194), ('BE', 0.6651947537682318), ('BE', 0.6814908762400538), ('BE', 0.6823707132827791)]"
H.orderedAnd() non-recursive "[('BE', 0.05013192612137154), ('BCDE', 0.22270203578038314), ('AB', 0.28267051308468666), ('AE', 0.38646493462588827), ('BE', 0.8451094997636536), ('BE', 0.9014131352623543), ('BE', 0.9045850335423726)]"
H.orderedAndOr() non-recursive "[('BE', 0.023720349563046094), ('BCDE', 0.037452017844174595), ('AB', 0.1316026784857734), ('AE', 0.3332515042487173), ('BE', 0.6467541735002844), ('BE', 0.6804447458044552), ('BE', 0.6823154311362184)]"
H.unorderedAnd() recursive "[('BE', 0.22352941176470556), ('BCDE', 0.3294270207963113), ('AB', 0.48715756230692964), ('AE', 0.9475065610454518), ('BE', 0.9972299380944729), ('BE', 0.9999923266396057), ('BE', 0.9999999999411195)]"
H.unorderedAndOr() recursive "[('BE', 0.03747534516765286), ('BCDE', 0.039925492592915966), ('AB', 0.16521462713912802), ('AE', 0.8170339482680429), ('BE', 0.9890107397470503), ('BE', 0.9999693072649649), ('BE', 0.9999999997644784)]"
